,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
111,Hawaii,33,22,11,.667,2.83,-1.70,,13,7,,13,5,,6,4,,2208,2039,,64.9,94.1,.269,.263,.482,47.7,33.4,9.1,9.1,.444,14.4,26.3,.199
112,High Point,31,14,17,.452,-9.84,-5.19,,6,12,,10,5,,2,11,,2312,2392,,72.7,106.2,.337,.386,.531,49.9,52.7,9.7,9.4,.503,14.5,32.0,.226
113,Hofstra,33,24,9,.727,4.89,-3.20,,16,2,,11,1,,10,5,,2466,2159,,67.7,96.0,.247,.370,.486,51.8,50.6,8.3,8.4,.457,15.8,30.8,.171
114,Holy Cross,32,10,22,.313,-14.28,-6.41,,7,11,,6,9,,4,11,,2136,2324,,69.1,104.6,.274,.349,.534,54.3,49.8,10.1,8.4,.512,15.3,30.5,.183
115,Houston,31,29,2,.935,23.84,4.44,,17,1,,16,2,,11,0,,2357,1752,,64.5,87.6,.349,.443,.471,44.6,53.6,8.3,6.9,.427,19.4,27.9,.244
116,Houston Christian,32,10,22,.313,-16.83,-6.59,,7,11,,8,8,,2,13,,2482,2658,,73.4,112.7,.319,.334,.584,50.5,51.6,10.7,8.5,.559,15.1,30.0,.226
117,Howard,32,20,12,.625,-4.76,-5.76,,11,3,,12,2,,6,8,,2427,2327,,71.9,100.7,.353,.374,.543,48.4,47.6,11.8,8.3,.514,19.1,30.9,.240
118,Idaho,32,10,22,.313,-8.36,-3.53,,4,14,,6,10,,4,11,,2335,2332,,67.1,107.4,.313,.325,.562,52.1,43.0,8.6,8.6,.531,15.1,26.8,.229
119,Idaho State,32,11,21,.344,-6.23,-2.63,,8,10,,7,7,,4,12,,2213,2272,,65.7,105.5,.351,.340,.552,51.8,47.5,8.3,6.6,.506,15.8,27.4,.276
120,Illinois,32,20,12,.625,15.36,7.67,,11,9,,15,2,,3,7,,2389,2143,,69.3,95.5,.296,.309,.502,46.9,44.7,9.6,8.1,.469,16.4,26.8,.208
